id_x,prenom,nom,poste,prix,points,minutes_jouees,buts,passes,clean_sheets,jaunes,rouges,bonus,influence,creativity,threat,forme,id_y,equipe,point_par_million,prochain_adversaire,domicile,points_per_min,ict_calc,poste_1,poste_2,poste_3,poste_4,prix_scaled,points_scaled,minutes_jouees_scaled,buts_scaled,passes_scaled,bonus_scaled,forme_scaled,points_per_min_scaled,ict_calc_scaled
430,Erling,Haaland,4,14.9,102,944,14,1,6,0,0,23,526.0,65.0,649.0,8.0,13,Man City,6.845637583892617,Newcastle,0,0.10805084745762712,1240.0,False,False,False,True,1.0,1.0,0.9534883720930233,1.0,0.2,1.0,0.946236559139785,0.10312295158722727,1.0
5,Gabriel,dos Santos Magalhães,2,6.6,81,990,1,2,7,1,0,13,318.6,62.6,88.0,8.5,1,Arsenal,12.272727272727272,Spurs,1,0.08181818181818182,469.20000000000005,False,True,False,False,0.25225225225225223,0.7920792079207921,1.0,0.07142857142857142,0.4,0.5652173913043478,1.0,0.0767453540934204,0.3783870967741936
82,Antoine,Semenyo,3,8.1,75,990,6,4,4,2,0,9,336.6,162.2,297.0,2.2,4,Bournemouth,9.25925925925926,West Ham,1,0.07575757575757576,795.8,False,False,True,False,0.3873873873873873,0.7326732673267327,1.0,0.42857142857142855,0.8,0.391304347826087,0.3225806451612903,0.07065126402142978,0.641774193548387
8,Jurriën,Timber,2,6.1,67,881,2,2,6,2,0,7,238.0,179.1,216.0,4.8,1,Arsenal,10.98360655737705,Spurs,1,0.07604994324631101,633.1,False,True,False,False,0.20720720720720717,0.6534653465346535,0.8897876643073812,0.14285714285714285,0.4,0.30434782608695654,0.6021505376344085,0.07094524680015804,0.5105645161290323
21,Declan,Rice,3,6.9,65,893,2,4,6,0,0,10,273.4,318.0,99.0,6.2,1,Arsenal,9.420289855072465,Spurs,1,0.07278835386338185,690.4,False,False,True,False,0.2792792792792793,0.6336633663366337,0.9019211324570273,0.14285714285714285,0.8,0.43478260869565216,0.7526881720430108,0.06766563758638397,0.5567741935483871
260,Marc,Guéhi,2,5.1,64,900,1,3,4,0,0,5,244.0,88.1,103.0,4.5,8,Crystal Palace,12.54901960784314,Wolves,0,0.07111111111111111,435.1,False,True,False,False,0.11711711711711709,0.6237623762376238,0.9089989888776542,0.07142857142857142,0.6,0.21739130434782608,0.5698924731182795,0.0659791282995703,0.35088709677419355
7,Riccardo,Calafiori,2,5.8,61,856,1,2,7,3,0,3,150.0,89.3,181.0,4.8,1,Arsenal,10.517241379310343,Spurs,1,0.07126168224299065,420.3,False,True,False,False,0.18018018018018014,0.594059405940594,0.8645096056622852,0.07142857142857142,0.4,0.13043478260869565,0.6021505376344085,0.06613053131615634,0.33895161290322584
241,Moisés,Caicedo Corozo,3,6.1,60,945,3,1,4,2,0,9,306.2,132.8,59.0,3.8,7,Chelsea,9.836065573770492,Burnley,0,0.06349206349206349,498.0,False,False,True,False,0.20720720720720717,0.5841584158415841,0.9544994944388271,0.21428571428571427,0.2,0.391304347826087,0.49462365591397844,0.05831798649478207,0.40161290322580645
256,Daniel,Muñoz Mejía,2,5.7,60,990,1,3,5,3,0,2,229.8,111.1,173.0,6.0,8,Crystal Palace,10.526315789473683,Wolves,0,0.06060606060606061,513.9,False,True,False,False,0.17117117117117117,0.5841584158415841,1.0,0.07142857142857142,0.6,0.08695652173913043,0.7311827956989246,0.055416038841453207,0.41443548387096774
119,Bryan,Mbeumo,3,8.5,60,955,5,1,2,0,0,8,271.4,350.9,333.0,8.2,14,Man Utd,7.0588235294117645,Everton,1,0.06282722513089005,955.3,False,False,True,False,0.4234234234234234,0.5841584158415841,0.9646107178968655,0.35714285714285715,0.2,0.34782608695652173,0.9677419354838709,0.05764947499349165,0.7704032258064516
136,Igor Thiago,Nascimento Rodrigues,4,6.3,60,921,8,0,2,3,0,9,343.4,93.5,363.0,7.0,5,Brentford,9.523809523809524,Brighton,0,0.06514657980456026,799.9,False,False,False,True,0.2252252252252252,0.5841584158415841,0.9302325581395349,0.5714285714285714,0.0,0.391304347826087,0.8387096774193548,0.05998164378138104,0.6450806451612903
249,João Pedro,Junqueira de Jesus,4,7.5,59,929,4,3,5,0,0,12,275.4,211.2,282.0,5.0,7,Chelsea,7.866666666666666,Burnley,0,0.06350914962325081,768.5999999999999,False,False,False,True,0.3333333333333333,0.5742574257425742,0.9383215369059656,0.2857142857142857,0.6,0.5217391304347826,0.6236559139784945,0.05833516702448424,0.6198387096774193
72,Marcos,Senesi Barón,2,5.0,58,977,0,2,4,3,0,6,350.0,91.3,31.0,3.0,4,Bournemouth,11.6,West Ham,1,0.0593654042988741,472.3,False,True,False,False,0.10810810810810811,0.5643564356435643,0.9868554095045501,0.0,0.4,0.2608695652173913,0.4086021505376344,0.05416852807953086,0.3808870967741936
575,Micky,van de Ven,2,4.8,58,979,3,0,4,2,0,5,253.4,33.9,120.0,6.5,18,Spurs,12.083333333333334,Arsenal,0,0.059244126659857,407.3,False,True,False,False,0.09009009009009007,0.5643564356435643,0.9888776541961577,0.21428571428571427,0.0,0.21739130434782608,0.7849462365591398,0.054046580398309244,0.3284677419354839
295,Michael,Keane,2,4.5,56,964,2,0,3,0,0,4,293.4,20.2,105.0,5.2,9,Everton,12.444444444444445,Man Utd,0,0.058091286307053944,418.59999999999997,False,True,False,False,0.06306306306306307,0.5445544554455446,0.9737108190091001,0.14285714285714285,0.0,0.17391304347826086,0.6451612903225806,0.052887370761789045,0.33758064516129027
257,Maxence,Lacroix,2,5.0,56,990,0,1,5,1,0,2,234.8,31.7,58.0,4.8,8,Crystal Palace,11.2,Wolves,0,0.05656565656565657,324.5,False,True,False,False,0.10810810810810811,0.5445544554455446,1.0,0.0,0.2,0.08695652173913043,0.6021505376344085,0.05135331212679279,0.2616935483870968
670,Robin,Roefs,1,4.7,56,990,0,0,4,1,0,6,323.8,20.0,0.0,3.8,17,Sunderland,11.914893617021276,Fulham,0,0.05656565656565657,343.8,True,False,False,False,0.0810810810810811,0.5445544554455446,1.0,0.0,0.0,0.2608695652173913,0.49462365591397844,0.05135331212679279,0.27725806451612905
226,Trevoh,Chalobah,2,5.1,55,840,2,1,5,2,1,2,254.8,52.0,85.0,5.0,7,Chelsea,10.784313725490197,Burnley,0,0.06547619047619048,391.8,False,True,False,False,0.11711711711711709,0.5346534653465347,0.8483316481294236,0.14285714285714285,0.2,0.08695652173913043,0.6236559139784945,0.06031307550644567,0.3159677419354839
258,Tyrick,Mitchell,2,5.0,55,990,1,0,5,2,0,5,238.0,160.7,81.0,5.0,8,Crystal Palace,11.0,Wolves,0,0.05555555555555555,479.7,False,True,False,False,0.10810810810810811,0.5346534653465347,1.0,0.07142857142857142,0.0,0.21739130434782608,0.6236559139784945,0.05033763044812768,0.3868548387096774
299,Iliman,Ndiaye,3,6.6,55,914,4,1,3,2,0,3,278.8,193.3,202.0,4.5,9,Everton,8.333333333333334,Man Utd,0,0.060175054704595186,674.1,False,False,True,False,0.25225225225225223,0.5346534653465347,0.923154701718908,0.2857142857142857,0.2,0.13043478260869565,0.5698924731182795,0.05498265169191339,0.5436290322580646
381,Mohamed,Salah,3,14.2,54,984,4,2,3,1,0,4,229.8,300.3,308.0,5.0,12,Liverpool,3.802816901408451,Nott'm Forest,1,0.054878048780487805,838.1,False,False,True,False,0.9369369369369367,0.5247524752475248,0.993933265925177,0.2857142857142857,0.4,0.17391304347826086,0.6236559139784945,0.049656380541705965,0.6758870967741936
1,David,Raya Martín,1,5.9,53,990,0,0,7,1,0,3,159.8,10.2,0.0,4.8,1,Arsenal,8.983050847457626,Spurs,1,0.05353535353535353,170.0,True,False,False,False,0.1891891891891892,0.5148514851485149,1.0,0.0,0.0,0.13043478260869565,0.6021505376344085,0.048306267090797474,0.13709677419354838
205,Josh,Cullen,3,5.0,53,941,2,1,3,1,0,8,273.6,150.3,77.0,4.0,3,Burnley,10.6,Chelsea,1,0.0563230605738576,500.90000000000003,False,False,True,False,0.10810810810810811,0.5148514851485149,0.9504550050556118,0.14285714285714285,0.2,0.34782608695652173,0.5161290322580645,0.05110937582564687,0.40395161290322584
469,Nick,Pope,1,5.2,52,976,0,1,5,1,0,3,284.6,0.0,0.0,2.8,15,Newcastle,10.0,Man City,1,0.05327868852459016,284.6,True,False,False,False,0.12612612612612614,0.504950495049505,0.9858442871587462,0.0,0.2,0.13043478260869565,0.3870967741935483,0.0480481840413006,0.22951612903225807
36,Matty,Cash,2,4.6,52,966,2,0,4,3,0,5,233.6,139.2,57.0,5.8,2,Aston Villa,11.304347826086955,Leeds,0,0.053830227743271224,429.79999999999995,False,True,False,False,0.07207207207207204,0.504950495049505,0.9757330637007078,0.14285714285714285,0.0,0.21739130434782608,0.7096774193548386,0.04860277043798543,0.3466129032258064
236,Pedro,Lomba Neto,3,7.1,52,829,3,2,5,0,0,5,216.2,270.4,171.0,8.0,7,Chelsea,7.323943661971831,Burnley,0,0.06272617611580217,657.5999999999999,False,False,True,False,0.29729729729729726,0.504950495049505,0.8372093023255814,0.21428571428571427,0.4,0.21739130434782608,0.946236559139785,0.05754786769655246,0.5303225806451612
261,Chris,Richards,2,4.5,52,990,0,0,5,0,0,0,262.2,49.3,42.0,4.8,8,Crystal Palace,11.555555555555555,Wolves,0,0.052525252525252523,353.5,False,True,False,False,0.06306306306306307,0.504950495049505,1.0,0.0,0.0,0.0,0.6021505376344085,0.047290585412132366,0.28508064516129034
390,Ryan,Gravenberch,3,5.6,52,781,3,2,3,2,0,10,229.0,126.8,65.0,3.8,12,Liverpool,9.285714285714286,Nott'm Forest,1,0.06658130601792574,420.8,False,False,True,False,0.16216216216216212,0.504950495049505,0.788675429726997,0.21428571428571427,0.4,0.43478260869565216,0.49462365591397844,0.06142429665890875,0.3393548387096774
668,Granit,Xhaka,3,5.1,52,990,1,3,4,4,0,4,300.4,244.6,37.0,5.0,17,Sunderland,10.19607843137255,Fulham,0,0.052525252525252523,582.0,False,False,True,False,0.11711711711711709,0.504950495049505,1.0,0.07142857142857142,0.6,0.17391304347826086,0.6236559139784945,0.047290585412132366,0.4693548387096774
