id_x,prenom,nom,poste,prix,points,minutes_jouees,buts,passes,clean_sheets,jaunes,rouges,bonus,influence,creativity,threat,forme,id_y,equipe,point_par_million,prochain_adversaire,domicile,fixture_difficulty
430,Erling,Haaland,4,14.9,102,944,14,1,6,0,0,23,526.0,65.0,649.0,8.0,13,Man City,6.845637583892617,Newcastle,False,2
5,Gabriel,dos Santos Magalhães,2,6.6,81,990,1,2,7,1,0,13,318.6,62.6,88.0,8.5,1,Arsenal,12.272727272727272,Spurs,True,1
82,Antoine,Semenyo,3,8.1,75,990,6,4,4,2,0,9,336.6,162.2,297.0,2.2,4,Bournemouth,9.25925925925926,West Ham,True,2
8,Jurriën,Timber,2,6.1,67,881,2,2,6,2,0,7,238.0,179.1,216.0,4.8,1,Arsenal,10.98360655737705,Spurs,True,1
21,Declan,Rice,3,6.9,65,893,2,4,6,0,0,10,273.4,318.0,99.0,6.2,1,Arsenal,9.420289855072465,Spurs,True,1
260,Marc,Guéhi,2,5.1,64,900,1,3,4,0,0,5,244.0,88.1,103.0,4.5,8,Crystal Palace,12.54901960784314,Wolves,False,3
7,Riccardo,Calafiori,2,5.8,61,856,1,2,7,3,0,3,150.0,89.3,181.0,4.8,1,Arsenal,10.517241379310343,Spurs,True,1
241,Moisés,Caicedo Corozo,3,6.1,60,945,3,1,4,2,0,9,306.2,132.8,59.0,3.8,7,Chelsea,9.836065573770492,Burnley,False,3
256,Daniel,Muñoz Mejía,2,5.7,60,990,1,3,5,3,0,2,229.8,111.1,173.0,6.0,8,Crystal Palace,10.526315789473683,Wolves,False,3
119,Bryan,Mbeumo,3,8.5,60,955,5,1,2,0,0,8,271.4,350.9,333.0,8.2,14,Man Utd,7.0588235294117645,Everton,True,3
136,Igor Thiago,Nascimento Rodrigues,4,6.3,60,921,8,0,2,3,0,9,343.4,93.5,363.0,7.0,5,Brentford,9.523809523809524,Brighton,False,3
249,João Pedro,Junqueira de Jesus,4,7.5,59,929,4,3,5,0,0,12,275.4,211.2,282.0,5.0,7,Chelsea,7.866666666666666,Burnley,False,3
72,Marcos,Senesi Barón,2,5.0,58,977,0,2,4,3,0,6,350.0,91.3,31.0,3.0,4,Bournemouth,11.6,West Ham,True,2
575,Micky,van de Ven,2,4.8,58,979,3,0,4,2,0,5,253.4,33.9,120.0,6.5,18,Spurs,12.083333333333334,Arsenal,False,3
295,Michael,Keane,2,4.5,56,964,2,0,3,0,0,4,293.4,20.2,105.0,5.2,9,Everton,12.444444444444445,Man Utd,False,4
257,Maxence,Lacroix,2,5.0,56,990,0,1,5,1,0,2,234.8,31.7,58.0,4.8,8,Crystal Palace,11.2,Wolves,False,3
670,Robin,Roefs,1,4.7,56,990,0,0,4,1,0,6,323.8,20.0,0.0,3.8,17,Sunderland,11.914893617021276,Fulham,False,4
226,Trevoh,Chalobah,2,5.1,55,840,2,1,5,2,1,2,254.8,52.0,85.0,5.0,7,Chelsea,10.784313725490197,Burnley,False,3
258,Tyrick,Mitchell,2,5.0,55,990,1,0,5,2,0,5,238.0,160.7,81.0,5.0,8,Crystal Palace,11.0,Wolves,False,3
299,Iliman,Ndiaye,3,6.6,55,914,4,1,3,2,0,3,278.8,193.3,202.0,4.5,9,Everton,8.333333333333334,Man Utd,False,4
381,Mohamed,Salah,3,14.2,54,984,4,2,3,1,0,4,229.8,300.3,308.0,5.0,12,Liverpool,3.802816901408451,Nott'm Forest,True,2
